title,description,url,image
Atlas of Global Development: Learning and Work,Interactive chapter on how skills are built and used on the job.,https://data360.worldbank.org/en/atlas/learning-and-work/,atlas-learning-and-work.jpg
Atlas of Global Development: Data for Development,Interactive chapter on the state of global development data.,https://data360.worldbank.org/en/atlas/data-for-development/,atlas-data-for-development.jpg
Human Capital Index Plus App,Interactive app exploring the World Bank's Human Capital Index Plus data.,https://www.worldbank.org/hciplus,hci-plus.jpg
SDG Atlas 2023: Zero Hunger,Interactive chapter on global progress toward ending hunger.,https://datatopics.worldbank.org/sdgatlas/goal-2-zero-hunger?lang=en,sdg2023-goal2.jpg
SDG Atlas 2023: Quality Education,Interactive chapter on learning outcomes and education access.,https://datatopics.worldbank.org/sdgatlas/goal-4-quality-education?lang=en,sdg2023-goal4.jpg
SDG Atlas 2023: Decent Work and Economic Growth,Interactive chapter on jobs and economic growth.,https://datatopics.worldbank.org/sdgatlas/goal-8-decent-work-and-economic-growth?lang=en,sdg2023-goal8.jpg
SDG Atlas 2020: Zero Hunger,Interactive chapter on global progress toward ending hunger.,https://datatopics.worldbank.org/sdgatlas/archive/2020/goal-2-zero-hunger/,sdg2020-goal2.jpg
SDG Atlas 2020: Quality Education,Interactive chapter on learning outcomes and education access.,https://datatopics.worldbank.org/sdgatlas/archive/2020/goal-4-quality-education/,sdg2020-goal4.jpg
SDG Atlas 2020: Decent Work and Economic Growth,Interactive chapter on jobs and economic growth.,https://datatopics.worldbank.org/sdgatlas/archive/2020/goal-8-decent-work-and-economic-growth/,sdg2020-goal8.jpg
