title,blurb,url,kind
"Human Capital Index Plus (HCI+)","Interactive app exploring how health, education, and jobs shape lifetime earnings across countries. Current flagship work.","https://www.worldbank.org/hciplus","App"
"Statistical Performance Indicators","A new tool measuring the statistical capacity of national statistical systems worldwide. Published in Scientific Data, with code and data open.","https://doi.org/10.1038/s41597-023-01971-0","Paper"
"Enrollment without Learning: Teacher Effort, Knowledge, and Skill in Primary Schools in Africa","Journal of Economic Perspectives study of what teachers in Sub-Saharan Africa actually know and do in the classroom.","https://doi.org/10.1257/jep.31.4.185","Paper"
"Atlas of Global Development: Learning and Work","Interactive chapter on how skills are built and used on the job, from the World Bank's Atlas of Global Development.","https://data360.worldbank.org/en/atlas/learning-and-work/","Visualization"
"Missing SDG Gender Indicators","World Development article on the large gaps in gender data reported against the Sustainable Development Goals.","https://doi.org/10.1016/j.worlddev.2025.106957","Paper"
"Data use in social science and medical articles around the world","PNAS Nexus study tracking how national statistics are actually used in academic research worldwide.","https://doi.org/10.1093/pnasnexus/pgaf196","Paper"
