title,github_url
Statistical performance indicators and index—a new tool to measure country statistical capacity,https://github.com/worldbank/SPI
Will Every Child be Able to Read by 2030? Defining Learning Poverty and Mapping the Dimensions of the Challenge,https://github.com/worldbank/LearningPoverty
HCI Plus Methodology Note,https://github.com/worldbank/HCI-Plus
Missing Evidence : Tracking Academic Data Use around the World,https://github.com/stacybri/academic_data_use
Missing SDG Gender Indicators,https://github.com/stacybri/Missing-SDG-Gender-Indicators
